protein,fiber_type,resistance,terbutaline
ALPK3,I,-0.0459891481997052,0.2268454642916047
ALPK3,II,0.2241003700360511,0.16963605103212606
ALYREF,I,0.4863341878940903,0.193068846756876
ALYREF,II,0.07133084407713253,0.18574960719688174
AMBP,I,0.25981243842484375,0.19678764036204682
AMBP,II,0.2876141326097461,-0.1501456449555659
AMPD1,I,-0.3329381645021497,-0.19204386734794057
AMPD1,II,-0.2045837781324802,-0.219935557931534
AMPD3,I,0.7312027310738886,0.2360247922991226
AMPD3,II,0.26107959426294336,0.33843163993087977
ANK1,I,-0.7189565120942137,-0.032163453086445824
ANK1,II,-0.2849744821412836,0.11214452851745849
ANK2,I,-0.18560450784991087,0.18530987848885366
ANK2,II,0.5084494866077416,-0.010847524926431854
ANK3,I,-0.20025680967291645,0.16658841281379616
ANK3,II,-0.20468669024899766,-0.12685916309734338
ANKRD2,I,0.7792793523722585,0.42438994852644724
ANKRD2,II,1.164655820390602,0.27421879619466233
ANP32A,I,0.5188107775830346,0.30236309371422926
ANP32A,II,-0.06324136151926016,0.09692594865332389
ANP32E,I,-0.012492505373171576,0.16740167230522282
ANP32E,II,0.01943110219479327,0.0290774626471945
ANXA1,I,1.9379671835153387,0.2407248772154064
ANXA1,II,0.21472723580781672,0.3172023519811387
ANXA11,I,0.1018860755887968,0.012295805965199755
ANXA11,II,0.02153340291966721,0.0038472797610749807
ANXA2,I,0.477699144962795,0.14352706821852726
ANXA2,II,0.22854535350699345,0.26876129852528025
ANXA3,I,0.2671073926635467,-0.09776960518925772
ANXA3,II,-0.08663755261583495,0.10693312486343769
ANXA4,I,0.4527219006172992,0.08429129155222749
ANXA4,II,0.03204646281130441,0.22700425206837713
ANXA5,I,0.18805352981408469,0.11025946395773764
ANXA5,II,0.1292772267332838,0.11594693938551644
ANXA6,I,-0.05651714960619917,0.02591535015502581
ANXA6,II,0.09739279560797742,-0.03754484825267242
ANXA7,I,-0.03814948844205622,0.06370287878735831
ANXA7,II,0.01187184622370463,-0.019837853830032042
AOC3,I,-0.3237429545689536,0.041654892160184843
AOC3,II,0.4120842847732519,0.04634725028258435
AP1B1,I,0.5570519931207133,0.051690247863717925
AP1B1,II,-0.021951089139728763,0.12643701400877147
AP1M1,I,0.06182335536190594,-0.03504368714396936
AP1M1,II,0.2703460757849214,-0.1773781021859128
AP2A1,I,0.7801322427879578,0.47987366439776097
AP2A1,II,-0.06285983794789765,0.26245614849694987
AP2B1,I,0.14846321650604619,0.022156579241840408
AP2B1,II,0.2226782722594749,0.037185348018017095
AP4S1,I,-0.2647717059014979,0.0725764337820826
AP4S1,II,-0.15918782458718742,0.16379019125901192
APCS,I,0.13820484405002276,-0.18974326441274386
APCS,II,0.18095995984457414,0.0583399707154039
APEH,I,-0.14799683219241594,0.07324203666612948
APEH,II,0.059472162673026796,-0.039861181109584955
APEX1,I,0.4173188535889213,-0.05135929254468849
APEX1,II,0.37404526454941384,0.028237236706839752
API5,I,-0.0055980469873091465,0.5224772285017163
API5,II,-3.4754237911601913,-0.11282821672715859
APIP,I,-0.28344823443128053,0.047827461261516824
APIP,II,0.13131497797101335,-0.4500739293496272
APMAP,I,0.6187326043589266,0.23848709771615328
APMAP,II,0.3793732228276614,1.3730807683722936
APOA1,I,0.3418318596922827,0.10926714183951265
APOA1,II,0.48673245159366463,0.1380940792353019
APOA1BP,I,-0.06049632550994285,-0.1366652743514321
APOA1BP,II,-0.04026263479557035,0.008173991644002973
APOA2,I,0.21939748285854602,0.11367576505145052
APOA2,II,0.3844340072648311,0.13697398773200634
APOA4,I,0.22753340209152487,0.012561234807362709
APOA4,II,0.3284841679109194,0.09767429971536072
APOB,I,0.13818719064960355,0.0024376203755908186
APOB,II,0.30382426051363365,0.158937892782268
APOC1,I,0.31159828250689287,0.15178061694296693
APOC1,II,0.10799785386758676,0.10149050857973485
APOC3,I,-0.1968175045803616,0.16119642205433055
APOC3,II,0.04218989420916763,-0.003548118146857071
APOD,I,0.6610324982956914,-0.31906498425141167
APOD,II,-0.21705182748779417,-0.3342559012251772
APOE,I,-0.17491535296137808,0.15297096673487243
APOE,II,0.16242152519912567,0.04460110764847484
APOH,I,0.3526915825085068,-0.015928199997186736
APOH,II,0.3943149572427269,0.2600467764779473
APOL2,I,0.9774328962363477,0.3590182187820261
APOL2,II,0.42667540305294743,0.31997320626488096
APOO,I,-0.3055370831948814,0.056344999188195126
APOO,II,0.10951621905730557,-0.17341633583504662
APOOL,I,-0.23433400624847373,-0.24590867930453525
APOOL,II,-0.08431575717536921,-0.08823733245278682
APPL1,I,0.06528412233956692,-0.06431108356003493
APPL1,II,-0.0377570110663481,-0.050590592317127925
APRT,I,0.12440994142786839,0.38858091523788635
APRT,II,-0.08907684260856742,0.17417183789395865
AQP1,I,0.35209006665435005,-0.05932032637235807
AQP1,II,-0.4922313065284101,0.3012034987960324
ARCN1,I,0.12912121614917968,0.2689607890644694
ARCN1,II,0.2675400564774333,0.22226259841046417
ARF1,I,-0.010999040494247936,0.420964977639643
ARF1,II,-0.014548837753455501,0.10152037710603762
ARF6,I,-0.03904426910309081,0.10510140848727846
ARF6,II,0.035561773746100256,-0.11240701980566718
ARG1,I,1.6095570926916576,-0.06500051239405646
ARG1,II,-0.3756820743185654,-0.5004173786717114
ARHGAP17,I,0.25887465089306616,0.02510238595526652
ARHGAP17,II,-0.06666133228897368,0.15925706875706408
ARHGDIA,I,0.17213923269434112,-0.04876137170385174
ARHGDIA,II,0.14666242221680115,0.2337673616195158
ARHGDIB,I,0.6330123217106571,0.07745434942598245
ARHGDIB,II,0.4459747795553832,0.19638039933658039
ARIH1,I,-0.41043429997366765,-0.09113204546120908
ARIH1,II,-0.16995473058165572,0.25078041346158475
ARL1,I,-0.09789410996233301,-0.20761816964689453
ARL1,II,-0.14108318906501394,-0.07484124440269335
ARL3,I,-0.05890803046092203,0.03375296991257383
ARL3,II,-0.0016852920893377643,0.036008189957883165
ARL6IP5,I,0.27358124776600157,0.3940283890309267
ARL6IP5,II,-0.00995302304916601,0.13789081523672356
ARL8B,I,0.5153289711650023,-0.00771664756914006
ARL8B,II,0.4116938347112831,-0.1395018368084234
ARMT1,I,-0.027871204763910536,-0.08453326775132047
ARMT1,II,-0.1228495527172182,0.02841769097103164
ARPC1B,I,0.6237776682124023,-0.10353324716390588
ARPC1B,II,-0.31262831249190154,0.2831951854209816
ARPC2,I,0.7775365888260785,-0.07528368667193323
ARPC2,II,-0.03908114028686027,0.2917587238412091
ARPC3,I,0.7066245059652699,0.06675549464806024
ARPC3,II,-0.09103680538925363,0.2332434658062185
ARPC5,I,0.9636989253352836,0.19099225128428282
ARPC5,II,0.28735867521870806,0.18246447064556257
ARPC5L,I,0.794860556571338,-0.002216774947897774
ARPC5L,II,-0.18645665566524472,-0.12000229832553
ART3,I,-0.9246039706078373,-0.38898567580832055
ART3,II,-0.712636277639025,-0.6324296686740077
ASAH1,I,0.2568720236051438,-0.02522568784230199
ASAH1,II,-0.14129500171022036,0.023102507835686126
ASNA1,I,0.057533706360506996,0.07708015004480291
ASNA1,II,0.14700495953594328,-0.0022234943342585765
ASPA,I,-0.09579478030086516,-0.04742113030605525
ASPA,II,-0.14046192561560922,-0.23303050743630171
ASPN,I,0.22297011278680312,-0.02710676933545712
ASPN,II,0.11909484691540495,-0.272262121780609
ASS1,I,-0.09797791429221826,-0.16519117825320387
ASS1,II,0.6353510752756546,0.05901970732789088
ATAD1,I,-0.22694438341776824,-0.04926402540761602
ATAD1,II,0.04774408260705698,-0.06178043432025252
ATAD3A,I,-0.2815542901354693,-0.05702254597095068
ATAD3A,II,0.07625806893460862,-0.05106615362075484
ATE1,I,-0.18217488190902031,-0.11036067030167393
ATE1,II,-0.18132377052302515,-3.937916074698844e-4
ATG3,I,0.27056028586994607,-0.19420683635024347
ATG3,II,-0.1893927635829661,NA
ATIC,I,0.08452622978371568,0.12458590925270294
ATIC,II,0.2638085364642766,0.06502956098859262
ATL2,I,-0.19090704243186277,0.2336861027397756
ATL2,II,0.1671582718734712,0.2122973398059321
ATOX1,I,0.030275170139826914,-0.01624147299846052
ATOX1,II,-0.040419919834847384,0.06172198594749704
ATP1A1,I,0.27862485314056534,-0.016179350448765353
ATP1A1,II,0.34564440495058535,-0.1272936231027392
ATP1A2,I,-0.16532624441050256,-0.026146601921330132
ATP1A2,II,0.047719577137405045,-0.08284329072324119
ATP1B1,I,-0.11007560486196764,-0.05167176419472733
ATP1B1,II,0.10895120714450646,0.04930253188918998
ATP2A1,I,-0.12693830817298388,-0.055160040370143
ATP2A1,II,-0.3585891135807344,-0.17469873336131533
ATP2A2,I,-0.11171333633958166,-0.2587860189054049
ATP2A2,II,0.9429161283747567,0.039255859095460664
ATP2B1,I,-0.4771217152589422,0.7297213680509611
ATP2B1,II,-0.013879229634657708,0.2152474952323565
ATP5A1,I,-0.26506947918797713,0.012998094872719216
ATP5A1,II,-0.14978991049820456,-0.20553165896846495
ATP5B,I,-0.3468839813256826,0.033010814423082735
ATP5B,II,-0.007873228030477186,-0.21507863509307068
ATP5C1,I,-0.3090635100664052,0.008263393767465278
ATP5C1,II,0.019568187092476208,-0.15123535112524866
ATP5D,I,-0.2577278221197794,0.1416218279409486
ATP5D,II,0.03062957789077614,-0.16759124164608563
ATP5F1,I,-0.2784780820992846,-0.11024874378097124
ATP5F1,II,-0.016036485465213524,-0.1432463760200564
ATP5H,I,-0.229289118664934,-0.15258000640620367
ATP5H,II,-0.12399140675239373,-0.21969656182911437
ATP5I,I,-0.4255004409196082,-0.009787373271017384
ATP5I,II,-0.10852595550917377,-0.11447452226753274
ATP5J,I,-0.2533572609942851,-0.03782861209611983
ATP5J,II,-0.00421965008403169,-0.16101690330300297
ATP5J2,I,-0.4988721554135118,-0.04433052830331427
ATP5J2,II,-0.23386289869440602,-0.11556982164934926
ATP5L,I,-0.3095020569570343,0.08338894470945941
ATP5L,II,0.09433992553989556,-0.044106866440978575
ATP5O,I,-0.47904094722583423,0.11108704610654413
ATP5O,II,0.1094364224482054,-0.22218493448354723
ATP5S,I,-0.31389906025108594,-0.0670535425454722
ATP5S,II,-0.2976014501551977,-0.19392572928209942
ATP6V1A,I,0.191662865778117,-0.15452960801000282
ATP6V1A,II,0.1490716601561104,0.011462024254620248
ATP6V1B2,I,0.2506207535391786,0.09194895248743047
ATP6V1B2,II,-0.06614854137351478,-0.02878586279585914
ATP6V1D,I,-0.21328765614035844,-0.022511093053096804
ATP6V1D,II,0.1346390580018905,-0.02698261746510649
ATP6V1E1,I,0.4466340710904448,0.13296674124722754
ATP6V1E1,II,-0.13182021122599386,0.16602618256607396
ATPAF1,I,-0.16215826252129237,-0.040359701386853755
ATPAF1,II,0.2315667519296456,-0.1447769500862086
ATPIF1,I,-0.11366917031286139,0.13982757522063577
ATPIF1,II,-0.6970292537180157,-0.07272947619208203
AUH,I,-0.2882774107796554,-0.11281781091647379
AUH,II,0.051847068820082755,-0.17221797122013818
AZGP1,I,0.3683943399730352,-0.22286562468542626
AZGP1,II,-0.36222448973872234,-0.007776552184831716
BAG2,I,-0.20201396430405008,-0.044257886263333206
BAG2,II,0.07395904935236253,-0.12333709451223014
BAG3,I,0.17144754859185315,0.15214961122586806
BAG3,II,0.38369059095168523,0.17162060027987933
BANF1,I,0.024205985709599784,-0.00930115259938392
BANF1,II,-0.2064396755655451,-0.027420346345884344
BAX,I,0.3592516866644809,0.14187676603798943
BAX,II,0.33272488164565783,0.34281206356526983
BCAM,I,-0.22351052227880303,-0.18476227386039598
BCAM,II,-0.0863084597959538,0.09214271679638886
BCAP31,I,0.04089856383793178,0.03302245951973437
BCAP31,II,-0.2765280386992597,0.3443898090311732
BCAT2,I,-0.2735410490616399,0.01757628332351197
BCAT2,II,-0.1754671359708646,-0.04515472603018086
BCKDHA,I,-0.30182588592911663,-0.07715565013265618
BCKDHA,II,0.0551794912140291,-0.01333170060915867
BCKDHB,I,-0.30808999052305125,-0.21613085699623438
BCKDHB,II,0.2311143188468041,-0.17431701322391338
BCL2L13,I,-0.2370362367626456,-0.03110702212919068
BCL2L13,II,-0.003169540290273609,0.03896283977428894
BCO2,I,0.08353580182506322,-0.02989100247508854
BCO2,II,0.12922632406981283,-0.24855616348304585
BDH1,I,-0.417930925022861,-0.20375919939991027
BDH1,II,-0.2161916628122713,-0.4048894961023537
BGN,I,0.4278942214018426,0.19105086027567694
BGN,II,0.8322265810058911,0.16173183142840858
BIN1,I,-0.17072851599255806,0.09495922197357924
BIN1,II,0.04330701679066529,-0.0027994957352615777
BLMH,I,0.1895732246808264,-0.12581662667592505
BLMH,II,-0.3502187925049427,0.1290858990788255
BLVRA,I,-0.059506374683786945,0.040884169999914184
BLVRA,II,0.020936038251996747,0.016688577733475096
BLVRB,I,-0.47192089620431965,0.09260599109499236
BLVRB,II,-0.17590385723082025,-0.04262765554391009
BNIP1,I,0.007718697375678947,0.3632300722301233
BNIP1,II,0.03886241826603154,-0.07327465733852678
BNIP3,I,NA,-0.01591853567983481
BNIP3,II,-0.7825818012233275,-0.02322679039313454
BOLA2,I,0.04849065514623975,0.09367324624999582
BOLA2,II,0.04732811280552007,0.06290370635105684
BPGM,I,-0.7496432796572733,-0.10034415607389982
BPGM,II,-0.20844382476219114,-0.04122332117982468
BPHL,I,0.022050705175808004,-0.11099632168264033
BPHL,II,0.34650249876649664,-0.0970077483054548
BPNT1,I,-0.03719736279353673,-0.019955688397623836
BPNT1,II,-0.3014367031038472,0.28486716309219595
BRCC3,I,-0.13184149037443582,0.024621712831927732
BRCC3,II,-0.05469160622988826,0.02601762954348885
BRE,I,-0.20502505782792824,-0.3005308584820114
BRE,II,-0.01059315125383146,-0.24527919424166614
BSG,I,-0.0958090941804363,-0.11924931865951184
BSG,II,-0.1196249303501733,-0.2736257486606122
BST2,I,-0.18740618422852937,-0.07891775553583166
BST2,II,0.08008753222818998,-0.01576045227294287
BTF3,I,0.9872636608203145,NA
BTF3,II,-0.5055849708839263,-0.21335559481555544
BZW2,I,-0.16193588463181793,0.14284399013351254
BZW2,II,0.00597639515784576,-0.09649717134980573
C10orf71,I,-0.2761335336060915,-0.5054542761468065
C10orf71,II,-0.16916179134009696,0.06357739137307622
C11orf54,I,-0.2645977157571104,-0.1411247122313985
C11orf54,II,-0.2071209106576275,-0.01724057422951179
C11orf68,I,0.10477141439733995,0.08147523276390523
C11orf68,II,0.11386528445132549,0.10417263110924029
C11orf73,I,-0.011925315325712964,0.05592297200392816
C11orf73,II,0.14109938641436282,0.11207425803925745
C14orf159,I,0.1871363898435474,-0.2640913108712996
C14orf159,II,0.05277671833107662,-0.3699645884844731
C14orf166,I,0.23543709052574716,0.1990847300286921
C14orf166,II,0.15360986146686018,-0.13443757571875137
C16orf13,I,-0.07016936244702403,-0.14422395457612858
C16orf13,II,0.16676433641211807,-0.1682062728673158
C1QBP,I,-0.11753378433752612,-0.24734368544991148
C1QBP,II,-0.05099379315750818,-0.1619374152590035
C1orf123,I,-0.1646040017246929,-0.08223502163979755
C1orf123,II,-0.015543587040922402,-0.026723437237865372
C20orf27,I,0.02559083335678888,0.10664584883572832
C20orf27,II,0.4043269325949806,0.12107443591298148
C2orf47,I,-0.4450569872456049,0.011935280897021245
C2orf47,II,-0.016346274984866405,-0.18338575529002155
C3,I,0.2164606353444256,0.004005667098489733
C3,II,0.36403476615939057,0.13328477332156638
C4A,I,0.12940935499965228,-0.10287497687294347
C4A,II,0.4437845046713924,-0.054785130838407525
C4BPA,I,-0.02359017303456164,0.2340284915589459
C4BPA,II,0.138210936428424,0.38404103791918764
C6orf203,I,-0.32453179909179547,0.0674544522009291
C6orf203,II,0.25098963670570235,-0.20889718446718497
C8orf82,I,-0.2223911921419029,-0.002703273811646521
C8orf82,II,0.06364184881481957,0.27435949388014524
C9,I,0.07265791362005913,-0.011372410827231505
C9,II,0.2509733343810203,-0.1178794623126304
CA1,I,-0.5864594112680995,-0.023398687673602554
CA1,II,0.015992091116639573,0.0014508102555110074
CA2,I,-0.3015596012489021,0.029304963291349503
CA2,II,-0.08082580097085801,-0.04808531723138376
CA3,I,-0.10359633193650707,-0.0714877563588389
CA3,II,0.1722156314573966,-0.007315216565360198
CA4,I,-0.4362113959065214,0.11891117065795037
CA4,II,-0.27356723335161703,-0.045570564983612304
CAB39,I,-0.12715813462314024,0.05605898877398347
CAB39,II,0.05032980431449263,-0.12193948067713449
CACNA1S,I,-0.29349227125702093,0.014915839978399138
CACNA1S,II,-0.21165549130601158,-0.115353098474404
CACNA2D1,I,-0.2762584385351557,-0.0033662693671113486
CACNA2D1,II,-0.14088100653356617,-0.06714801100866952
CACNB1,I,-0.17505966108936452,0.15963787667559587
CACNB1,II,-0.13736536827684143,-0.07315491579790272
CACNG1,I,-0.3181959538163365,-0.09724673874193603
CACNG1,II,-0.06263276136409224,-0.13019676839023578
CACYBP,I,0.4664764739967688,0.16504510616610074
CACYBP,II,0.316699541301907,0.21676425340802408
