protein,sample,abundance,intervention,fiber_type
MYH11,s_41,0.04894861067513192,terbutaline,I
MYH11,s_78,NA,terbutaline,II
MYH11,s_77,NA,terbutaline,I
MYH11,s_14,0.15055842616454596,resistance,II
MYH11,s_16,0.07183633775166849,resistance,II
MYH11,s_83,0.04185712403231676,terbutaline,I
MYH11,s_22,0.1228537633966402,resistance,II
MYH11,s_23,0.05764278280369139,resistance,I
MYH11,s_62,0.0747892125091303,terbutaline,II
MYH11,s_49,0.041704166653408245,terbutaline,I
MYH11,s_53,0.0498372310162464,terbutaline,I
MYH11,s_64,0.06259997654017475,terbutaline,II
MYH11,s_36,0.05255113360342631,resistance,II
MYH11,s_66,NA,terbutaline,II
MYH11,s_28,0.07049588370315474,resistance,II
MYH11,s_67,0.022981101335819615,terbutaline,I
MYH11,s_75,0.05603932745785384,terbutaline,I
MYH11,s_33,0.11968497074957868,resistance,I
MYH11,s_17,NA,resistance,I
MYH11,s_44,NA,terbutaline,II
MYH11,s_45,0.0310701889142748,terbutaline,I
MYH11,s_46,0.05169971346694782,terbutaline,II
MYH11,s_86,0.06409884627966358,terbutaline,II
MYH11,s_48,0.08492590641973714,terbutaline,II
MYH11,s_88,NA,terbutaline,II
MYH11,s_71,0.031395940039333076,terbutaline,I
MYH11,s_37,0.05946336699376491,resistance,I
MYH11,s_76,0.09247397814421517,terbutaline,II
MYH11,s_39,0.12593569687835493,resistance,I
MYH11,s_74,0.06308130386656086,terbutaline,II
MYH11,s_61,0.04433304620098451,terbutaline,I
MYH11,s_92,0.07997513405154881,terbutaline,II
MYH11,s_21,0.10761019940166813,resistance,I
MYH11,s_60,NA,terbutaline,II
MYH11,s_84,NA,terbutaline,II
MYH11,s_72,0.09424539015530893,terbutaline,II
MYH11,s_87,0.03731091628296398,terbutaline,I
MYH11,s_35,0.0594096951124972,resistance,I
MYH11,s_91,0.22879080070050353,terbutaline,I
MYH11,s_85,0.030415799702870065,terbutaline,I
MYH11,s_40,0.08554413660981222,resistance,II
MYH11,s_38,0.18361052533861488,resistance,II
MYH11,s_18,0.11394163245203069,resistance,II
MYH11,s_34,NA,resistance,II
MYH11,s_70,0.09086965336749271,terbutaline,II
