s_1;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_12;s_13;s_14;s_15;s_16;s_17;s_18;s_19;s_20;s_21;s_22;s_23;s_24;s_25;s_26;s_27;s_28;s_29;s_30;s_31;s_32;s_33;s_34;s_35;s_36;s_37;s_38;s_39;s_40;s_41;s_42;s_43;s_44;s_45;s_46;s_47;s_48;s_49;s_50;s_51;s_52;s_53;s_54;s_55;s_56;s_57;s_58;s_59;s_60;s_61;s_62;s_63;s_64;s_65;s_66;s_67;s_68;s_69;s_70;s_71;s_72;s_73;s_74;s_75;s_76;s_77;s_78;s_79;s_80;s_81;s_82;s_83;s_84;s_85;s_86;s_87;s_88;s_89;s_90;s_91;s_92;protein;gene
14081,7002;25027,09961;20707,69922;NaN;35816;36734,10156;37782,39844;41363,80078;24812,30078;23062,5;40407,80078;35863,10156;23996,59961;22180,30078;25650,59961;43933,30078;20136,40039;18111,5;21829,69922;27145;27067,90039;35126,5;34019,39844;28391,90039;13924,7998;16319,7002;19723,90039;20568;13014;9209,860352;12007,5;11603,7998;31302,30078;23024,69922;23121,5;22850,40039;30166,5;29369,90039;36014,10156;41244,30078;20231;20200,40039;13646,59961;19514,09961;20087,09961;16641,90039;25811;20917,5;11226,90039;21417,30078;17982,30078;40661,19922;14690,7002;16237,7002;14060,90039;16132,2998;25588,30078;27622,69922;24128,40039;19543,59961;14518,40039;16478,30078;10120,2998;12960,5;28431,19922;21852,59961;15219,09961;37266;25748;20678,5;29786;29475,80078;23064,90039;24183,80078;26105,59961;24394,40039;11470,5;17590,5;15957;12920;19802,80078;18257,30078;22226,5;19454;13912;17170,30078;19529,19922;18950,59961;17107,5;18788,40039;23402;14083,90039;P04217;A1BG
31309,40039;33098,5;31784,40039;298779;36074,19922;71756,10156;59427,80078;85582,60156;34600,39844;42777,5;59025,60156;73730,5;36985,10156;30084,69922;50572,60156;62127,30078;18833,59961;25478,5;30357,5;34166,30078;56749,60156;64398,5;67163,70313;62366,19922;11318,09961;11902,5;15928,7002;23300,5;21992,5;15798;18120,30078;18915,40039;52985,69922;38889,39844;31453,19922;33977,5;34602,80078;44101,30078;36668,60156;59209,69922;25483,5;26303,69922;25179,40039;26296,40039;33741;25019,19922;37283,80078;33120,5;21706,80078;30422,30078;22683,90039;68923;16255,7998;10737,90039;18786,09961;14311,40039;46062,69922;39662,10156;34281,60156;23841,5;11522,7998;14320,90039;11130,09961;13354,2002;30576,40039;20748,90039;16495,59961;28666;28256,30078;29111,09961;45536,69922;44381,5;23613,69922;30411,90039;34071,5;29808,19922;14058,90039;20511,30078;19107,30078;15198,2998;16115,59961;21732,5;12624,7002;17978,90039;24902,19922;21755,5;35031;27208,30078;23129,30078;26835;27579,69922;22297,19922;P01023;A2M
185625;225878;157339;NaN;149667;214856;140541;113815;175946;184807;140679;156869;145144;201151;134190;145874;208607;255785;101106;129186;165943;233616;154345;161483;212741;217107;89468,60156;133804;162046;180281;172653;163499;208978;178095;199052;156470;269494;232776;195852;202880;220273;242031;159297;182025;201265;184338;156907;136736;192078;243241;195324;190240;189593;130589;208766;168311;181037;160331;184005;205790;151285;157295;141521;168302;181552;205362;179400;118848;198753;221199;205008;205894;170060;225524;110090;105303;162842;266086;151496;193507;178132;176141;163378;135500;195052;202700;137579;166704;157924;186660;108326;128062;Q9H7C9;AAMDC
5781,580078;5038,549805;6210,680176;NaN;6546,149902;4881,080078;7488,120117;5975,160156;5404,930176;4798,600098;5893,310059;5527,439941;4708,970215;5405,850098;6068,720215;5982,740234;4939,359863;6116;5705,75;5845,779785;5518,950195;4076,679932;5551,97998;5547,189941;5151,660156;5714,180176;6072,049805;6041,02002;5512,129883;5147,100098;6166,029785;5208,97998;4785,709961;4813,529785;5582,540039;5122,930176;5033,5;4306,100098;4757,540039;5165,660156;5457,879883;5090,640137;5138,759766;5502,160156;5943,540039;6298,22998;7017,490234;5530,189941;5626,970215;5580,689941;5950,680176;5200,470215;4422,299805;4637,620117;5893,140137;4197,870117;4519,379883;5676,129883;6503,209961;5915,990234;6259,640137;5965,049805;6321,049805;6023,459961;5836,52002;5090,52002;5627,049805;4703,100098;5763,930176;4680,799805;5863,830078;4422,709961;4577,350098;5174,459961;5265,689941;4749,620117;6716,439941;6937,330078;7332,72998;5825,160156;5460,299805;6814,25;6060,140137;6474,279785;4532,200195;6319,850098;5039,310059;5798,359863;5307,640137;5503,680176;4459,700195;6145,77002;P49588;AARS
2739,610107;2943,320068;2769,699951;NaN;2466,379883;1718,5;2369,389893;2189,879883;2243,199951;2260,929932;2277,209961;2156,050049;1957,790039;2291,97998;1916,339966;2469,350098;2322,52002;2192,860107;2002,199951;2371,5;2193,149902;1968,900024;1984,329956;2041,160034;2087,929932;2774,570068;1686,219971;1889,880005;2657,699951;2963,580078;2189,580078;2564,469971;2227,050049;2798,540039;1448,27002;2843,209961;1844,719971;3001,820068;1768,800049;2454,139893;2422,800049;2367,219971;1951,829956;2855,290039;2599,320068;3598,879883;2335,800049;2329,97998;1940,47998;2140,860107;1759,189941;2624,860107;1172,650024;2651,830078;2328,129883;3638,810059;1628,959961;3115,189941;2080,070068;3508,110107;1714,51001;2393,600098;2726,649902;2389,52002;2350,050049;3186,189941;2895,969971;2041,130005;3207,030029;2805,01001;2447,379883;3118,439941;2534,840088;2186,22998;2276,659912;2182,530029;1767,420044;3023,090088;2134,97998;3826,219971;2240,77002;2438,27002;3057,070068;3560,52002;2791,399902;3844,879883;2698,040039;3865,5;2562,73999;2801,409912;1833,400024;2587,870117;Q9BTE6;AARSD1
NaN;NaN;NaN;NaN;405,0180054;NaN;339,0280151;295,4590149;554,5880127;464,5960083;161,9109955;NaN;680,1430054;1221,140015;390,2309875;536,7990112;261,9580078;444,0499878;NaN;727,4689941;NaN;NaN;275,6459961;203,2709961;NaN;136,8769989;501,5369873;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;470,2569885;NaN;325,3139954;NaN;NaN;804,8049927;270,368988;NaN;158,8789978;606,867981;960,1030273;698,6879883;NaN;529,7230225;681,3410034;794,0139771;538,8499756;NaN;NaN;NaN;245,1049957;NaN;301,0690002;NaN;166,1569977;235,0829926;364,6140137;567,2299805;556,5700073;321,4339905;379,5899963;281,0299988;NaN;NaN;588,125;216,8509979;457,3850098;NaN;242,5610046;253,8919983;631,2340088;NaN;210,5549927;278,1170044;NaN;NaN;242,4810028;NaN;NaN;536,4639893;331,5599976;333,2950134;NaN;1119,48999;397,3129883;494,2609863;1178,530029;O94911;ABCA8
3149,129883;1958,890015;2441,050049;NaN;3497,300049;2977,719971;2010,339966;3863,22998;2409,47998;3111,379883;3218,300049;1913,209961;3402,850098;NaN;3567;2789,290039;2305,840088;3255,560059;2370,52002;2387,409912;NaN;NaN;2726,120117;3213,580078;1010,799988;2098,75;1612,5;1699,219971;NaN;2290,860107;1632,130005;2397,97998;2417,080078;3084,76001;2074,629883;2495,129883;NaN;2595,139893;2813,159912;2111,449951;NaN;2064,379883;1454;2236,830078;NaN;3080,850098;2995,689941;1921,349976;1433,209961;NaN;NaN;2575,600098;1270,170044;1940,439941;1935,23999;2101,73999;2093,48999;2152,189941;2324,26001;1947,97998;2684,98999;2291,610107;1436,300049;2075,540039;1879,949951;2480,77002;2464,23999;2654,709961;1286,900024;2185,320068;1963,089966;1954,73999;2024,819946;2273,879883;1351,579956;1282,400024;1119,709961;2138,100098;1384,25;2578,23999;2133,550049;2115,149902;1227,47998;2126,780029;1657,630005;2068,129883;1408,27002;2941,070068;1539,579956;2022,359985;2523,959961;2484,350098;P61221;ABCE1
3398,169922;4116,459961;4550,109863;NaN;3705,75;3152,870117;4812,799805;5827,160156;2909,780029;2984,290039;5573,350098;3547,47998;4858,509766;3606,870117;4106,910156;3691,580078;4447,450195;3381,72998;4583,870117;3784,129883;3377,97998;3986,530029;2641,5;2895,27002;3633,530029;3201,889893;5339,609863;5167,319824;4360,549805;1995,47998;2825,179932;2861,370117;3092,699951;3510,27002;3613,570068;4889,859863;2746,429932;3238,959961;2729,949951;3640,129883;4215,759766;5106,540039;3499,879883;3342,330078;2749,969971;3398,429932;3450,580078;3529,189941;2551,590088;NaN;3176,290039;2822,570068;3822,560059;2752,320068;3600,850098;5052,830078;2836,169922;1909,219971;3711,280029;3844,97998;2471,790039;5861,390137;4559,839844;5264,790039;4214,439941;4686,299805;3751,449951;3208,22998;3525,5;4034,48999;4228,850098;3549,51001;4037,169922;3713,209961;4875,399902;6941,350098;4002,25;2901,379883;4448,160156;3248,060059;3923,810059;3222,310059;3238,419922;3988,070068;3265,879883;2049,949951;2919,219971;3495,22998;2887,699951;1958,02002;3619,590088;4423,939941;Q8NE71;ABCF1
5260,060059;3378,949951;3294,399902;249543;2432,47998;4928,220215;5660,419922;3248,600098;6690,069824;2553;4767,319824;3952,399902;5502,220215;5147,459961;5013,330078;5572,439941;6845,439941;4348,5;3805,439941;2606,22998;5941,720215;5042,290039;6249,720215;4138,450195;7006,470215;4498,410156;4535,939941;3184,47998;6372,990234;5184,77002;6877,290039;6062,240234;9861,950195;6012,27002;6989,600098;4314,370117;6610,109863;4100,189941;5357,669922;4354,299805;7209,5;4738,22998;6284,339844;5521,669922;9246,269531;6354,689941;6471,240234;4790,660156;5757,810059;6193,720215;5638,959961;2925,75;5930,649902;3163,040039;6533,899902;3188,790039;5701,189941;4593,200195;8325,700195;3330,01001;5246,740234;3343,27002;5444,049805;3809,370117;6710,149902;4654,200195;6157,52002;2422,320068;6725,370117;5695,830078;7567,830078;5181,490234;7244,649902;4579,259766;6727,200195;2958,830078;5111,22998;4898,819824;6901,870117;3941,439941;6755,169922;3640,719971;8780,679688;3708,909912;8174,089844;5865,189941;6417,830078;5086,910156;7213,609863;4929,580078;4605,569824;2437,689941;Q9NUJ1;ABHD10
2332,459961;3052,209961;2990,530029;NaN;5457,649902;2994,780029;2669,52002;2674,360107;1242,459961;5245,950195;1998,189941;4978,410156;1966,189941;2936,580078;3772,22998;3750,389893;1181,959961;4680,629883;1143,199951;5423,609863;1708,369995;7003,959961;2161,76001;10491,40039;1926,680054;2596,699951;1202,810059;3432,419922;2340,110107;3870,389893;2262,659912;5125,390137;2184,080078;3250,139893;NaN;4603,959961;1889,459961;2769,320068;1290,869995;3749,199951;1846,810059;2515,560059;2025,099976;NaN;1235,48999;3070,070068;2497,75;4172,490234;1899,829956;NaN;2216,929932;2459,100098;3064,419922;1103,880005;1141,560059;NaN;1768,560059;4915,97998;2019,560059;2311,159912;861,6090088;3073,790039;1561,780029;NaN;1431,300049;918,1929932;1536,670044;2239,530029;2107,419922;2978,389893;1708,469971;2397,419922;1423,359985;NaN;1645,130005;NaN;2331,560059;2554,399902;2031,060059;3292,840088;2328,820068;3221,139893;1642,01001;4045,51001;2008,030029;2184,590088;2251,379883;2706,360107;2310,840088;2846,879883;1719,030029;2155,620117;Q8NFV4;ABHD11
32814,39844;35350,30078;36324,19922;NaN;43272,39844;57649,19922;47308,89844;48835,30078;42096,5;45313,39844;48409;44159,60156;41929,5;54220,10156;46120,80078;46101,39844;42408,19922;58628,5;31683,59961;46923,60156;45759,39844;57056,19922;39523,39844;53614,89844;46915,39844;61006,5;37612,80078;52875,80078;33603,69922;49765,60156;31728,69922;51624,69922;45243,10156;51275,10156;43203,19922;49364,89844;47905,80078;51514,19922;41151,39844;52771,19922;39515,89844;53825;37124,19922;45303,5;36118,89844;53662,80078;43657,69922;56558,39844;33957,39844;47308,30078;39114,89844;54885,89844;42480,10156;45983,5;34202,39844;49306,39844;45568,39844;57933,10156;36531,19922;59626,80078;34799,5;49226,69922;40475,69922;52099,39844;34152,80078;64087,10156;47576,30078;45452,69922;36820,39844;54284,5;44402,69922;50009,30078;56782,39844;60362,19922;54582,39844;51838,5;37236,80078;57476;39597;50645,19922;51332;59556,69922;51793,89844;65196,80078;45203,69922;60638,5;45339,19922;55745,10156;33679;54582,5;39992,30078;58459,69922;Q96IU4;ABHD14B
2950,120117;1101,650024;2155,419922;NaN;NaN;1452,050049;2403,149902;2651,560059;1396,22998;1450,530029;1761,959961;1196,48999;1424,689941;1047,219971;1361,180054;1407,579956;2764,639893;1395,339966;4333,22998;1532,060059;2650,340088;2280,810059;3695,719971;4002,199951;1943,530029;1042,560059;4446,080078;1043,369995;1590,599976;534,1879883;1312,640015;855,460022;1947,26001;1759,599976;1949,449951;3044,179932;2046,380005;1510,660034;1711,02002;1583,76001;2516,850098;1124,290039;4220,970215;1148,25;2468,01001;843,4279785;3088,860107;5333,209961;1339,569946;2405,429932;2111,540039;733,9039917;3310,899902;NaN;4992,319824;753,8330078;1319,060059;874,1900024;NaN;901,3870239;2640,310059;1007,26001;2479,429932;1500,52002;1561,97998;1026,430054;967,4810181;1883,140015;1744,219971;785,0700073;1357,040039;1177,339966;1450,369995;1211,920044;9271,919922;2530,620117;856,8400269;720,9959717;2123,290039;692,1489868;2390,52002;1907,400024;2650,01001;2231,73999;1905,369995;1481,170044;1170,930054;2173,419922;1774,969971;1497,609985;7039,689941;1490,099976;O14639;ABLIM1
14650,90039;16570,40039;14099,7002;NaN;16168,5;9618,759766;16188,59961;12707,7002;14105,40039;16577,19922;11663,40039;13331,7002;11140,7998;17485,09961;12888,2002;11464,2002;13740,09961;18956,59961;13365,7998;21836,69922;13146,90039;13716,7002;12477,7002;14349;14803,09961;19385,30078;16679,30078;24008,40039;15091;13374,59961;15093,5;16516;10977;14172;12708,90039;14731,90039;14767,40039;12847,2998;13811,7002;17642,59961;13406,40039;14768,5;13231,5;13075,2002;17301,19922;20183,59961;15363,09961;15246;14042,90039;19073,40039;14905,40039;15048,40039;13169,90039;16493,09961;16075,09961;15884,2002;10518,2002;11973;14419;13915,90039;14696,2002;13715;17672,30078;15180,7998;11882,90039;14348,40039;15374,09961;14556;12049,7002;12234,2002;14628;16043,90039;11197,40039;15079,90039;19787,40039;16740;12277,40039;13029,90039;13588,7998;16732,80078;15253,7002;17143,80078;12397,40039;15260,2998;15659,40039;13626,2002;14119,59961;14572;13248,40039;15247,40039;14051,09961;15977,09961;Q6H8Q1;ABLIM2
8886,419922;8140,470215;11395,5;NaN;8073,680176;7250,830078;9306,709961;7515,330078;9487,429688;7028,060059;11333;5246,509766;9387,200195;5675,77002;8447,549805;8866,419922;8702,209961;7331,290039;10089,5;7706,970215;8705,490234;5513,040039;6294,240234;6912,430176;10499;6040,709961;10346,09961;8127,259766;14957,7998;9754,419922;11364,40039;8632,339844;9302,519531;6895,339844;8807,429688;6490,919922;10933,40039;7844,430176;11767,7998;7448,220215;9330,889648;5923,629883;9658,169922;8861,889648;10622,09961;8871,429688;11661,7998;8083,939941;6592,919922;3916,050049;6565,939941;4551,819824;7535,720215;6082,939941;11264,2002;4541,879883;7027,370117;5969,580078;9330,099609;7952,310059;6632,649902;5537,279785;6512,080078;5300,97998;7939,890137;6373,620117;9302,799805;6343,060059;11346,2002;12989,2002;9040,110352;7923,290039;5626,299805;3250,840088;5199,129883;3896,97998;7911,129883;6213,890137;7615,120117;6583,959961;6508,209961;6071,629883;9425,929688;7933,430176;13241,40039;11880,7002;10195,09961;8647,80957;7110,930176;7376,930176;8803,950195;7146,819824;P09110;ACAA1
70345,79688;44156,39844;73844,70313;688342;75121,79688;79334,10156;94022,10156;44977,89844;74528,10156;35907,30078;59644,19922;43053,19922;82520,79688;50977,30078;71384,20313;75256,39844;62582,10156;42056,80078;37148,5;25971,69922;33952;23972,09961;42139,80078;27154,40039;103258;53412,5;71301,79688;35465,39844;70947,89844;52677,60156;68621,29688;41037,80078;70743,29688;41395,19922;64461,19922;33208,5;106230;58513,5;89107,10156;55616,89844;79259,60156;40780,89844;72100,29688;51198,80078;114394;78100,79688;106604;66664,20313;87417,20313;55745,89844;88475,29688;42754,5;93890,79688;42159,19922;93708,79688;35922,89844;83978;57457,69922;87332,10156;53466,19922;63632,69922;41918,60156;51972;27917,40039;76683,29688;46112,10156;80632;31633;93515,39844;66659,39844;74083,39844;47914;64305,89844;37040;44521,10156;18733,40039;78751,70313;57071,89844;75782,20313;53196,5;59859,39844;37811,89844;88720,70313;38261,80078;98849,10156;80868,10156;91579,70313;63853,80078;104017;54508,89844;52434,30078;33909,10156;P42765;ACAA2
3441,060059;5002,299805;3385,310059;NaN;1525,47998;2779,060059;2202,560059;2365,600098;1523,800049;3832,590088;1069,619995;2902,629883;2818,01001;2753,080078;3620,25;3411,76001;1906,160034;3443,419922;1275,280029;656,1090088;1418,619995;2801,100098;2625,320068;4039,689941;2267,379883;3451,01001;2615,080078;2507,75;1686,189941;3754,439941;1870,599976;2785,25;2767,51001;2915,25;3014,669922;5163,490234;1816,920044;3146,02002;1898,619995;2772,550049;1554,689941;3234,530029;3170,540039;4773,029785;2208,27002;4317,040039;1926,060059;3636,860107;2773,75;2058,689941;2580,929932;2260,949951;2466,070068;2151,209961;2159,52002;3076,530029;3063,159912;3784,379883;1583,01001;4110,859863;1896,76001;3798,840088;2290,669922;4337,959961;2241,110107;5315,569824;3993,300049;3408,669922;1562,339966;2536,290039;1510,199951;2481,360107;1594,469971;1952,530029;1112,589966;1538,25;2396,409912;2676,840088;2048,379883;3706,51001;2396,850098;3343,199951;2967,110107;3520,699951;2026,459961;3381,590088;2306,560059;3878,189941;2598,590088;3347,179932;1394,76001;2067,290039;O00763;ACACB
8140,720215;8991,169922;6300,240234;NaN;4792,399902;9108,969727;8701,509766;6075,200195;10963,5;8071,890137;8854,339844;9339,620117;8635,75;9500,030273;7604,890137;7813,290039;9966,679688;10165,40039;7120,02002;5574,600098;8986,30957;6438,680176;9270,540039;9511,419922;9820,259766;9090,969727;9976,139648;9746,94043;9238,519531;8458,230469;7409,970215;7404,560059;12779,09961;7908,459961;8301,839844;5900,560059;13212,59961;9070,799805;10750,2998;9133,830078;11315,40039;10926,2998;11514,90039;7088,029785;10812,7998;12973,7002;12405,7002;9459,830078;8518,990234;10610,2002;9318,280273;5614,02002;6247,509766;2813,97998;6580,450195;3920,879883;9277,660156;4784,390137;8860,69043;5736,060059;5323,859863;4014,610107;6223,470215;4332,72998;8863,509766;5401,919922;8456,530273;3276,77002;7598,02002;6034,319824;7225,240234;4648,169922;9812,919922;7986,779785;7248,009766;3825,949951;8892,089844;9580,240234;8177,669922;8590,049805;8702,349609;4366,600098;9126,379883;5491,97998;10572,90039;10226,7002;10874,40039;8083,779785;10051,7998;8412,580078;5642,540039;4338,140137;Q9UKU7;ACAD8
1623,719971;2333,629883;2822,459961;NaN;3595,47998;1972,579956;NaN;3180,47998;2030,5;NaN;2287,530029;1511,329956;2695,810059;1593,369995;2376,26001;2277,530029;1880,890015;1731,380005;1627,859985;1637,25;2124,149902;NaN;1448,660034;1172,699951;2903,27002;1693,199951;1922,660034;2616,810059;2327,459961;2778,870117;2096,26001;2495,040039;2062,01001;1838,689941;NaN;NaN;2054,790039;2570;1978,22998;1535,619995;2341,969971;2230,050049;3075,600098;1776,689941;3120,330078;2605,409912;2525,120117;2058,669922;NaN;NaN;NaN;1250,849976;1373,439941;1446,530029;1461,550049;1481,209961;2952,98999;2061,340088;3044,639893;1607,75;2536,26001;957,5289917;3056,350098;1190,300049;NaN;NaN;1734,859985;NaN;2494,300049;2019,199951;3240,179932;2169,969971;2853;2011,060059;3153,350098;1295,26001;2310,75;1727,410034;2742,810059;1922,430054;3019,030029;1227,719971;2268,939941;967,6749878;3502,580078;2267,939941;4865,669922;3484,310059;2263,939941;984,507019;NaN;2070,629883;Q9H845;ACAD9
207882;183208;197360;425738;183670;191402;212110;120210;203750;98366;165705;124443;178204;175998;181131;184149;205662;185752;154001;87466,89844;183337;108546;226265;155293;291613;192999;223620;180749;192120;197630;184050;162244;271515;214604;295616;169061;314451;193839;222917;157136;227660;197720;226315;195542;325833;289467;264382;181885;174605;140198;158736;98601,20313;148650;83043,10156;188109;87862,5;336167;219931;364910;201782;142071;122111;127806;105401;228829;156991;263168;85535,70313;238319;193420;200054;146162;143174;90892,39844;84721,60156;26946,19922;167025;126264;153668;119948;266304;136427;284108;141621;330899;231118;269526;195741;294892;204159;158389;105798;P11310;ACADM
149743;96710,89844;118773;NaN;71840,5;157375;157084;84548;160408;62594,80078;113862;88311;136924;117271;127594;148600;100195;58312,80078;56951,89844;31066,09961;97297,5;43569,30078;78668,20313;45916,10156;206031;105226;126058;102724;146004;105260;129301;95242;195937;109975;178633;86141,79688;261623;117076;201247;110672;102288;53661,5;87817,20313;48782,10156;188896;146404;168735;104004;85886,5;57694,39844;94481,29688;35687,80078;112276;30789,19922;152237;34594,69922;134166;71088,10156;149268;63586;46807,89844;33062,19922;49749,5;31770,69922;71698,10156;39625,60156;78498,20313;26884,5;156926;96809,60156;129900;63266,69922;81717,39844;42362;45601,10156;18684,30078;72683,60156;41371,60156;79565,10156;53043,10156;127882;53361;149763;62011,60156;85205,79688;56688,69922;77086,20313;49756;133248;76155,89844;93257,29688;50831,10156;P16219;ACADS
14504,09961;9955,150391;11542,59961;NaN;8452,349609;11814;14514,7998;9625,05957;15476,59961;7881,359863;11308,7998;8102,040039;14250,2998;8739,040039;12164,90039;12301,59961;12466,59961;7812,72998;6369,930176;3644,949951;15286,5;8540,05957;13462,5;8607,990234;17214,69922;8764,580078;13746,09961;10801,90039;18721,40039;12288,7998;12716,09961;8588,980469;17047,59961;10269;13512,59961;7007,02002;15119;7477,339844;11437,2998;6740,790039;15496,2002;7354,029785;13226,2998;6964,939941;21116,40039;15712,90039;17500,59961;12967,2002;17644,5;8033,580078;15624,2002;7700,470215;6814,5;4120,669922;10758,2998;4210,589844;10442,5;7954,359863;12835,59961;6077,700195;14942;7978,970215;12900,90039;7618,430176;8619;4977,390137;8080,97998;3290,699951;11288,5;8021,660156;12118,2002;6620,240234;11333,2998;5882,75;7233,560059;2440,409912;8194,150391;5427,660156;9968,469727;6839,240234;10279,7998;5258,459961;12627,7998;4806,240234;23455,5;14615,2998;17349,69922;12992,5;15203,09961;7635,160156;7786,5;5795,680176;P45954;ACADSB
199736;166022;180857;793233;146798;198761;210585;145401;185252;104618;159093;140189;213440;190899;219095;225853;165498;148985;143533;99948,29688;204325;139473;184338;187213;281788;180898;167064;154794;226902;201196;193154;179675;237497;181906;208470;139097;307005;178469;259456;188801;189438;141394;191533;132250;185959;196529;212890;188900;155056;146007;165579;106782;166657;72588,39844;215026;83714,70313;158547;121393;186431;131951;126586;111274;119038;126316;178031;130989;191465;85529,79688;229791;219918;203781;146212;178985;137131;197769;95520,20313;179335;185214;187738;192591;189111;112972;218152;139711;260192;224079;246954;214092;204550;179225;158597;146823;P49748;ACADVL
10113,5;NaN;9094,580078;NaN;6367,810059;6504,259766;7556,899902;1585,75;15848,40039;NaN;4458,209961;NaN;22414,59961;NaN;2298,060059;1278,589966;15348,5;NaN;12071,09961;1311,48999;5701,350098;NaN;10669,59961;NaN;12584,7998;NaN;13789,40039;NaN;12957,90039;NaN;13057,7002;NaN;8056,720215;NaN;7618,160156;NaN;5451,580078;NaN;4596,319824;NaN;9094,839844;NaN;16404,5;NaN;14201,7002;NaN;5310,870117;NaN;23585;NaN;13015,2002;NaN;10953,7002;NaN;11939,2998;NaN;10724,5;NaN;8198,740234;NaN;16322,2002;NaN;21314;NaN;8642,950195;NaN;13377,90039;NaN;3179,429932;NaN;15119,5;NaN;6330,390137;NaN;1296,949951;NaN;16815,5;NaN;3735,810059;612,5159912;4259,939941;NaN;4975,040039;NaN;5210,830078;NaN;8721,089844;NaN;13119,09961;NaN;1688,160034;NaN;Q15027;ACAP1
274679;238002;300225;932145;254920;280118;248913;130186;315745;152946;267467;205921;393403;304036;369840;411301;311918;198775;130236;101879;274720;186752;279214;195461;357424;220491;172245;145245;293470;291981;276996;233259;370365;271730;312467;234324;410802;270787;339134;233042;516192;275961;334372;280047;307916;273934;332775;257089;289868;261509;307773;187116;348272;204483;359343;165349;284995;280818;376959;299379;416337;276127;309997;189838;333136;244830;398209;140474;381594;356494;313003;275733;267779;169802;178938;78983,5;440318;476707;404523;371240;280732;190578;389802;217337;400685;410291;368993;346304;341972;268481;193703;143486;P24752;ACAT1
26736,80078;33851,5;28900,59961;NaN;23219,69922;22841,40039;23646,09961;21888,30078;28356,5;23473,40039;23559,69922;25751,90039;32395,40039;36303,10156;31672,80078;31117,40039;23744,80078;20921,59961;20341;18384,09961;25194,90039;23472,19922;27397,40039;25459,69922;30719,19922;26601,59961;21578,69922;17165,09961;27429;29217,19922;31176,40039;29509,90039;28486;24869,80078;30350,69922;26301,40039;26573,40039;23773,09961;24716,90039;24845,69922;29687,5;25319,80078;27860,5;24341,69922;18631,09961;22159,09961;24879,40039;26425;25680,80078;21471,5;30941;24939,59961;27285,5;20457;25959,69922;17677,09961;30811,90039;30325,59961;30492,80078;30129,30078;32086;33193,10156;30478,40039;34321,5;28331,40039;25303,90039;22751,90039;17476;30440,19922;29231,30078;29484,09961;27389,5;24590,5;24577,59961;20467,30078;16170,09961;30128,19922;28091;26130;26453,90039;25806;20256,69922;23377,19922;20694,40039;28336;27649,19922;26868,90039;27302,40039;29145,80078;25131,90039;17860,40039;28109;P21399;ACO1
449679;470690;548937;2241520;473366;449898;473373;301369;606797;322068;453178;438200;619991;588154;567171;646307;454360;385397;300773;210135;452490;311729;510718;488244;604076;436466;428716;377893;614234;631569;614576;610070;643852;462720;598384;428414;653979;476784;532749;393569;548126;415331;526656;476593;631422;583303;555655;489571;663653;478363;647923;458472;578937;451240;638819;376841;727402;624534;783802;630764;545663;480404;511308;381196;595157;451369;621230;273599;634106;595157;552999;472189;516123;387503;385757;255939;652817;656811;594595;577654;575694;439906;619918;419469;602619;575980;570298;515039;599514;528948;338761;354370;Q99798;ACO2
14449,7998;12711,5;16690,80078;NaN;20626,09961;17997,19922;14416,7002;10660,90039;19692,69922;7976,27002;11732,90039;16956,80078;17637,59961;14747,7998;17458,90039;17409,19922;10467,7998;8729,129883;6222,47998;5993,970215;9409,150391;12151,09961;16387,19922;11472,2002;17262,5;12240,40039;9518,830078;5545,680176;12569,2002;14532,90039;15319,2998;15169;25599,19922;16876,30078;15543,2998;12417,59961;12885,59961;10139,7002;15181,40039;10784,40039;23424,69922;13670,59961;14531,7998;14738,90039;10215,2998;9730,969727;12381,40039;12194,40039;15155,59961;13999,09961;16635,69922;15174,59961;14914,2002;22657,69922;14506;13969;13869,59961;15407,5;21674,59961;20818,69922;19420;18232,69922;11161,2002;9229,44043;20767,90039;9543,959961;25992,30078;5971,029785;16691,5;13937,90039;18980,19922;15906,40039;13976,90039;14608,2998;18115,40039;8651,919922;19671,5;21685,80078;22417,30078;19062,90039;14906,09961;11432,59961;30106,19922;15039,59961;17640;18793,40039;18889,59961;14406;29023,69922;21424,59961;20569,69922;13646,40039;Q9NPJ3;ACOT13
108930;78336,39844;82482,20313;NaN;72878,10156;70204,10156;58547,60156;39734,80078;91111;51284,5;68245,5;59734,39844;84918,5;84369;78603,89844;84342,39844;78449,10156;67848,20313;59595,89844;34722,80078;90975,10156;46214,5;87612,79688;58519,60156;100533;65566,5;67343,70313;50180,39844;88883,39844;68412,29688;88261,10156;66710,39844;111472;66248,70313;102490;59301,5;98541,60156;61905,10156;87643,5;49774,39844;85257,60156;64096,5;84706,20313;53918,69922;88130,29688;66747,5;89325,20313;60264;81134,60156;74664;110060;51872,19922;79796,20313;40479,10156;96680;41262,69922;86676,79688;51849,19922;89554,20313;47718,39844;55308,89844;45971;54774,69922;50738,19922;72731,89844;42472,80078;57834,39844;24591,59961;120661;81705,79688;108164;63259,19922;83685,10156;57629,60156;74459,39844;34002,5;88486;79175,5;92355,89844;81055,10156;58469,5;41782,80078;67450,70313;41053,80078;106899;74399,20313;90300;63216,60156;79678,89844;56666,39844;38129;34917,69922;P49753;ACOT2
