s_1;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_12;s_13;s_14;s_15;s_16;s_17;s_18;s_19;s_20;s_21;s_22;s_23;s_24;s_25;s_26;s_27;s_28;s_29;s_30;s_31;s_32;s_33;s_34;s_35;s_36;s_37;s_38;s_39;s_40;s_41;s_42;s_43;s_44;s_45;s_46;s_47;s_48;s_49;s_50;s_51;s_52;s_53;s_54;s_55;s_56;s_57;s_58;s_59;s_60;s_61;s_62;s_63;s_64;s_65;s_66;s_67;s_68;s_69;s_70;s_71;s_72;s_73;s_74;s_75;s_76;s_77;s_78;s_79;s_80;s_81;s_82;s_83;s_84;s_85;s_86;s_87;s_88;s_89;s_90;s_91;s_92;protein;gene
17468,40039;17317,90039;13587,09961;NaN;15376,7998;17107,40039;13535;22760,90039;14932,2002;14547,2998;24377;17444,59961;13377;14639,90039;14140,5;11823,2998;12923,2998;17605;17059,59961;23135,59961;13669,59961;16354,59961;13636,90039;14036,5;11148,90039;16765,30078;17447,19922;17852,19922;13242,90039;14000,2998;10810,5;13785;11189,5;12892,2998;13489;14074,2998;10394,7002;15389,90039;12598,2002;18107,90039;7746,129883;14008;10901,5;13969,2002;11747,2002;15918,59961;16204,90039;16420;11226,7998;19859,80078;10516,59961;12505;10743,09961;12390,90039;9748,450195;10273,7002;12871,7998;11971,40039;11052,90039;12738,59961;8114,290039;11977,40039;14150;14150,90039;9379,740234;13573,40039;11016,2998;12460,40039;15458,2002;13618,40039;14121,7998;12572,40039;16779;15101,7998;16125,90039;18937,59961;11733,59961;10342,2002;9350,530273;9026,480469;13780,7002;13602,5;9687,139648;11501,40039;14578,40039;12502,59961;13667,5;14120,59961;12038,09961;14936;18223,5;15509,09961;P04843;RPN1
974,0560303;NaN;NaN;NaN;NaN;222,0610046;223,6399994;670,2880249;NaN;NaN;669,598999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;358,5029907;317,6380005;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;137,9420013;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;187,9940033;127,814003;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;270,7070007;NaN;262,8999939;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;P04844;RPN2
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;287,4819946;NaN;NaN;NaN;353,3510132;NaN;NaN;311,0339966;NaN;NaN;170,9470062;NaN;NaN;324,3980103;NaN;202,4660034;NaN;262,2460022;301,4379883;400,1719971;NaN;NaN;NaN;NaN;NaN;247,2489929;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;439,6109924;534,5410156;NaN;NaN;NaN;NaN;134,1210022;NaN;356,6099854;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;427,2739868;280,1929932;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;326,0780029;NaN;145,6679993;NaN;NaN;NaN;318,3559875;NaN;NaN;419,04599;NaN;NaN;NaN;200,0850067;NaN;155,2089996;NaN;Q9NQG5;RPRD1B
4152,560059;4110,410156;5099,470215;NaN;5072,640137;5310,410156;5312,959961;9601,330078;3447,340088;5823,629883;10115,40039;3649,320068;6208,589844;5475,740234;7730,930176;5833,819824;2934,73999;3990,610107;5879,109863;4510,640137;6779,77002;4954,97998;2415,870117;3583,570068;3607,040039;3703,48999;4244,379883;10206,2998;5394,850098;5771,189941;3370,590088;3661,060059;4024,76001;5839,959961;4361,850098;5078,859863;3895,149902;7515,890137;9370,549805;6454,870117;7413,240234;6475,549805;4649,129883;8266,509766;2745,77002;6724,439941;6313,660156;10723,40039;4164,330078;2788,800049;4306,660156;4965,580078;6664,029785;4841,379883;6456,27002;4320,47998;5688,140137;5505,77002;6636,5;6524,720215;7293,649902;7699,029785;8573,730469;7458,100098;5404,370117;7214,939941;6669,209961;7290,819824;2525,669922;6273,75;3938,919922;5582,109863;6594,850098;6124,799805;8800,480469;10231,40039;6596,490234;6947,890137;7355,490234;8254,299805;8751,900391;7273,359863;8390,839844;11887,7998;5750,160156;7082,640137;5975,859863;8475,519531;4909,390137;7832,310059;11848,7002;11042,40039;P46783;RPS10
NaN;898,1740112;1079,25;NaN;NaN;NaN;370,2680054;2629,51001;NaN;NaN;2436,52002;673,447998;412,7109985;NaN;632,0700073;NaN;635,8150024;433,9639893;1200,939941;1111;401,0400085;NaN;490,7059937;NaN;NaN;NaN;730,0720215;359,9869995;NaN;769,1079712;280,3840027;NaN;NaN;395,5429993;NaN;750,5120239;NaN;NaN;509,1210022;NaN;436,8540039;NaN;NaN;901,5650024;NaN;NaN;618,6040039;845,2290039;NaN;NaN;NaN;NaN;NaN;528,0689697;482,7059937;795,9390259;NaN;NaN;NaN;1116,099976;660,7089844;906,1110229;680,7800293;NaN;NaN;650,4580078;NaN;2070,179932;NaN;NaN;NaN;743,072998;798,4829712;NaN;NaN;491,3120117;851,3549805;NaN;NaN;NaN;505,1629944;600,9459839;NaN;NaN;NaN;1149,839966;384,2470093;NaN;NaN;NaN;487,5920105;817,6900024;P62280;RPS11
19171,30078;17975,30078;18061,30078;216763;17288,30078;15882,90039;24852,40039;35979,60156;16982,69922;20659,80078;29872;21583,80078;12012,40039;20328,69922;17007,5;22392,59961;20167,59961;24314,09961;22627,59961;29007,5;17901,5;21080,90039;19274,30078;23005;19235,19922;31899;19139,90039;22722,40039;18762,19922;18320,59961;20590,90039;21863,90039;20216,19922;21354,19922;19147,30078;20470,19922;18527,69922;32127,69922;33432,80078;26013,59961;19200,59961;19707,30078;17557,80078;22931,90039;20127,90039;28397,19922;20493,80078;23501,09961;14920,2002;29050,90039;20806,09961;22247,19922;13892,09961;17354,40039;18133;19620,09961;16180,90039;21443,40039;18593;19835,59961;17847,40039;22857,19922;20033,09961;25791,90039;19077,80078;24099,5;16708,59961;23893,30078;21268,09961;20242,30078;16301,2998;19471,19922;15764,5;26922,69922;24177,90039;23420,69922;18588;25203,80078;23443,80078;23875,59961;23513,59961;25679,5;21132,90039;24158,69922;20712,69922;21959,19922;18536,80078;23977,09961;14792,90039;17316,59961;19008,19922;24749,90039;P25398;RPS12
1169,969971;770,9060059;NaN;NaN;891,6690063;NaN;NaN;1213,939941;440,4580078;NaN;1331,589966;657,7399902;NaN;NaN;811,059021;NaN;NaN;NaN;733,8629761;822,5300293;NaN;852,3989868;595,0549927;646,5280151;797,40802;1856,349976;574,2379761;NaN;NaN;819,026001;483,5979919;522,8969727;772,0670166;NaN;454,723999;1035,280029;1035,170044;907,9279785;5446,490234;520,1309814;564,6790161;1049,699951;580,5319824;NaN;NaN;NaN;1048,859985;1309,98999;682,1829834;NaN;716,15802;1117,599976;883,2219849;890,9530029;811,2440186;940,0269775;978,2810059;756,8140259;718,71698;1505,910034;322,8210144;1095,319946;1098,359985;NaN;629,1699829;1771,719971;940,2559814;1139,5;NaN;656,9060059;738,5449829;1290,26001;886,6619873;620,2990112;748,2299805;1272,390015;884,4609985;568,1970215;752,0159912;1051,26001;1476,73999;1330,599976;993,125;2711,77002;431,6329956;861,1829834;458,6080017;NaN;304,0440063;773,6350098;1535,670044;1511,77002;P62277;RPS13
4781,77002;9644,299805;11582,7998;NaN;4333,629883;10991,90039;8923,280273;22846,59961;5424,290039;7415,649902;19092,09961;8487,139648;5332,720215;5811,569824;8808,799805;6852,22998;7603,220215;4287,069824;5695,509766;9884,459961;4489,279785;6920,290039;4582,919922;7237,720215;6643,689941;8557,179688;5633,27002;11624,40039;5270,109863;11756,09961;5888,22998;7100,609863;6708,410156;8161,169922;4958,839844;7167,540039;4742,899902;7373,310059;9733,80957;5952,77002;6442,819824;11071;5232,049805;11241;7423,740234;8318,070313;9868,509766;9563,169922;5482,990234;6416,149902;6613,370117;8118,120117;7862,060059;15227,7002;7011,819824;11085,09961;5638,450195;10035,5;5264,370117;11261,2002;7605,350098;12401,09961;6663,609863;8924,209961;4631,27002;9478,900391;7400,040039;17000,90039;5504,25;9175,969727;7045,47998;10985,90039;5988,549805;8905,879883;5861,439941;9197,219727;8181,859863;9787,610352;10115,7002;10801,2998;6331,100098;11688,7998;9699,589844;10130,90039;4505,509766;8678,339844;6369,089844;7184,430176;5753,220215;8269,19043;8070,430176;13856,2002;P62263;RPS14
10743,2002;8897,839844;8640,629883;NaN;6558,529785;10578,2998;8099,319824;16823;10211,7998;10542,2002;21497,69922;10963,7002;8094,399902;7696,990234;7072,569824;7213,600098;9489,730469;8704,330078;11575,09961;10404,2002;5602,189941;7659,350098;8293,5;8570,230469;7658,759766;6152,959961;6939,100098;10109,09961;7623,899902;8111,589844;8897,459961;8622,69043;6874,899902;7510,660156;7677,100098;6786,149902;9000,129883;9846,730469;10124,2998;8988,55957;6757,540039;6930,459961;6092,100098;8375,950195;7855,549805;9808,719727;10710,7002;8413,280273;4981,560059;NaN;4927,359863;5971,640137;6196,72998;6278,399902;7801,189941;5350,5;6118,450195;6455,330078;6402,569824;4953,330078;6358,129883;4659,200195;6256,580078;5168,299805;5469,200195;6755,419922;5779,700195;11729;8200,330078;6595,569824;8173,180176;5495,839844;7119,620117;6089,240234;5611,879883;7883,109863;5664,689941;5135,109863;6059,339844;6563,100098;8360,070313;5591,180176;4945,029785;5989,740234;5637,75;7457,390137;5230,640137;5632,620117;4415,189941;5602,620117;10492,7002;6220,52002;P62249;RPS16
2500;2730,969971;3677,969971;NaN;NaN;2585,350098;3059,659912;11456,40039;3001,320068;2702,969971;7054,870117;2325,790039;3060,820068;NaN;3006,52002;2006,439941;2031,709961;1978,5;3381,860107;3064;1900,689941;NaN;2161,570068;2732,090088;1588,77002;2203,070068;2754,76001;1866,23999;2287,469971;2737,870117;3142,659912;1997,849976;NaN;2639,48999;2021,439941;2168,5;1716,140015;2025,349976;1809,02002;2907,02002;3157,689941;3377,48999;2232,290039;3144,969971;2201,280029;2150,51001;1887,079956;1338,780029;NaN;1946,390015;2034,01001;2465,699951;3284,280029;6344,160156;2813,72998;4549,859863;NaN;4340,109863;NaN;3078,459961;3392,439941;3354,560059;2337,719971;2944,040039;2429,340088;1971,329956;3238,030029;5699,580078;2390,639893;3052,469971;2767,919922;2731,169922;2698,179932;2454,169922;2072,139893;2859,969971;2509,709961;2602,280029;3973,419922;2470,01001;2355,159912;2979,169922;3476,120117;3231,48999;1580,390015;2035,910034;2078,459961;1207,719971;2055,570068;2100,080078;1608,780029;2786,850098;P08708;RPS17
